Payble Date,Income/Amount/Share/Dividend,Investment Income,ST Cap Gains,LT Cap Gains,Total Distribution
6/18/21,$24.27 (Inv),$0.02933960,-,-,$0.02933960
6/18/21,$24.26 (Inst),$0.03839857,-,-,$0.03839857
3/18/21,$23.16 (Inv),$0.05098388,-,-,$0.05098388
3/18/21,$23.16 (Inst),$0.05942821,-,-,$0.05942821
12/18/20,$21.72 (Inv),$0.00905139,-,-,$0.00905139
12/18/20,$21.72 (Inst),$0.01801390,-,-,$0.01801390
9/18/20,$19.13 (Inv),$0.03170945,-,-,$0.03170945
9/18/20,$19.13 (Inst),$0.03903915,-,-,$0.03903915
6/18/20,$18.26 (Inv),$0.03034499,-,-,$0.03034499
6/18/20,$18.26 (Inst),$0.03590278,-,-,$0.03590278
3/18/20,$14.07 (Inv),$0.03107063,-,-,$0.03107063
3/18/20,$14.07 (Inst),$0.03831320,-,-,$0.03831320
12/18/19,$18.82 (Inv),$0.04196909,-,-,$0.04196909
12/18/19,$18.82 (Inst),$0.04964262,-,-,$0.04964262
9/18/19,$17.80 (Inv),$0.04731858,-,-,$0.04731858
9/18/19,$17.80 (Inst),$0.05327159,-,-,$0.05327159
6/18/19,$17.20,$0.06566509,-,-,$0.06566509
3/19/19,$16.72,$0.05232873,-,-,$0.05232873
12/18/18,$15.33,$0.08791977,$0.02500,$0.51339,$0.62630977
9/18/18,$17.96,$0.05499230,-,-,$0.05499230
6/19/18,$16.99,$0.05791680,-,-,$0.05791680
3/20/18,$16.72,$0.04369471,-,-,$0.04369471
12/19/17,$16.73,$0.05315489,$0.15204,-,$0.20519489
9/19/17,$15.79,$0.05107348,-,-,$0.05107348
6/20/17,$15.53,$0.04405814,-,-,$0.04405814
3/20/17,$15.37,$0.04662158,-,-,$0.04662158
12/20/16,$14.58,$0.04502534,$0.06489,$0.03508,$0.14499534
9/20/16,$13.78,$0.04538819,-,-,$0.04538819
6/20/16,$13.34,$0.04391608,-,-,$0.04391608
3/18/16,$13.15,$0.04845082,-,-,$0.04845082
12/18/15,$12.88,$0.04061333,$0.14263,$0.11942,$0.30266333
9/18/15,$12.94,$0.03816853,-,-,$0.03816853
6/18/15,$14.29,$0.04120635,-,-,$0.04120635
3/18/15,$13.89,$0.04200730,-,-,$0.04200730
12/18/14,$13.53,$0.03066401,$0.54808,$0.10086,$0.67960401
9/18/14,$13.50,$0.02424009,-,-,$0.02424009
6/18/14,$13.05,$0.03496855,-,-,$0.03496855
3/18/14,$12.11,$0.03702784,-,-,$0.03702784
12/18/13,$11.56,$0.04725764,$0.38271,-,$0.42996764
9/18/13,$11.47,$0.03960545,-,-,$0.03960545
6/18/13,$11.13,$0.03967611,-,-,$0.03967611
3/19/13,$10.36,$0.01492578,-,-,$0.01492578